,Round,NoiseMultiplier,sparse_categorical_accuracy,loss
0,10.0,0.001,0.05352380871772766,14.308121681213379
1,20.0,0.001,0.14361904561519623,11.166722297668457
2,30.0,0.001,0.23752380907535553,8.782876968383789
3,40.0,0.001,0.28761905431747437,7.677165985107422
4,50.0,0.001,0.32819047570228577,6.944874286651611
5,60.0,0.001,0.3575237989425659,6.531904220581055
6,70.0,0.001,0.37009525299072266,6.253245830535889
7,80.0,0.001,0.392380952835083,6.036787509918213
8,90.0,0.001,0.41028571128845215,5.848282337188721
9,100.0,0.001,0.41999998688697815,5.729031562805176
10,10.0,0.1,0.05999999865889549,14.00640869140625
11,20.0,0.1,0.135809525847435,11.431233406066895
12,30.0,0.1,0.21104761958122253,10.140332221984863
13,40.0,0.1,0.23733332753181458,9.282618522644043
14,50.0,0.1,0.27542856335639954,8.534804344177246
15,60.0,0.1,0.29466667771339417,8.456695556640625
16,70.0,0.1,0.2918095290660858,8.433576583862305
17,80.0,0.1,0.3219047486782074,7.895174503326416
18,90.0,0.1,0.328000009059906,7.823821544647217
19,100.0,0.1,0.329714298248291,7.941270351409912
20,10.0,0.2,0.05009523779153824,14.462324142456055
21,20.0,0.2,0.06838095188140869,13.991600036621094
22,30.0,0.2,0.11923809349536896,12.949260711669922
23,40.0,0.2,0.14628571271896362,12.143745422363281
24,50.0,0.2,0.16895237565040588,11.740694046020508
25,60.0,0.2,0.1900952309370041,11.47607421875
26,70.0,0.2,0.21219047904014587,11.025565147399902
27,80.0,0.2,0.18685714900493622,11.749288558959961
28,90.0,0.2,0.22304761409759521,10.976224899291992
29,100.0,0.2,0.22457142174243927,10.99897575378418
30,10.0,0.3,0.047428570687770844,14.553284645080566
31,20.0,0.3,0.10114285349845886,13.51152229309082
32,30.0,0.3,0.1080000028014183,13.540243148803711
33,40.0,0.3,0.12057142704725266,13.429598808288574
34,50.0,0.3,0.1274285763502121,13.405853271484375
35,60.0,0.3,0.13904762268066406,13.031065940856934
36,70.0,0.3,0.15409523248672485,12.924392700195312
37,80.0,0.3,0.14609523117542267,13.10244083404541
38,90.0,0.3,0.1609523743391037,12.886994361877441
39,100.0,0.3,0.16895237565040588,12.784635543823242
